item_title,image_url,link
2013 Kolkata market fire,"The 2013 Kolkata market fire was a fire accident that occurred in five-storeyed market place in Kolkata on 27 February 2013, the capital city of West Bengal, India. An estimated 19 people, who were mostly labourers working in the market were killed in the accident. Initial reports indicate the fire might have been initiated by short circuit in the first floor of the market. The fire accident in the second major one in Kolkata after the 2011 AMRI hospital fire accident that killed 90 people.",http://en.wikipedia.org/wiki/2013_Kolkata_market_fire
Scorpene deal scam,"The Scorpene deal scam was an Indian bribery scandal, in which Rs. 500 crores (about USD 10 mn) were alleged to have been paid to government decision makers by Thales, the makers of the Scorpene submarine. Defence minister Pranab Mukherjee had approved the submarine deal worth Rs 19,000 crore with Thales in October 2005. The investigating agency, Central Bureau of Investigation (CBI), found no evidence of corruption in the deal in 2008.",http://en.wikipedia.org/wiki/Scorpene_deal_scam
Cal Poly Mustangs men's basketball,"The Cal Poly Mustangs men's basketball team represents California Polytechnic State University, located in San Luis Obispo, California. The school's team currently competes in the Big West Conference. The team began playing at the Division 1 level in 1994. The Mustangs are coached by Joe Callero and play their home games at Mott Athletic Center.",http://en.wikipedia.org/wiki/Cal_Poly_Mustangs_men's_basketball
Sunehri Masjid (Chandni Chowk),"The Sunehri Masjid (�_���௱�� �ɯ_�¯�, lit. Golden Mosque) is a mosque in Old Delhi.It is located near the Gurudwara Sis Ganj Sahib in Chandni Chowk, once an imperial boulevard leading to the Red Fort.",http://en.wikipedia.org/wiki/Sunehri_Masjid_(Chandni_Chowk)
The Worli Riots,The Worli Riots refers to the violence that broke between the members of Dalit Panther and Shiv Sena. This resulted in the death of a Dalit Panther leader Bhagwat Jadhav when a grinding stone was thrown at a Morcha by Dalit Panthers on January 1974 in Mumbai.,http://en.wikipedia.org/wiki/The_Worli_Riots
Maniyawan,Maniyawan is a place in the Jehanabad district in Bihar state of India. It is situated at a distance of approximately 7 kilometers from Jehanabad.Notable people from Maniyawan include Arun Kumar.,http://en.wikipedia.org/wiki/Maniyawan
Sindarli,"Sindarli is a village in the Pali district in the Indias state of Rajasthan.Location - It is about 10 km from the town of Sadri, 16 km from Nadol, 23 km from the tehsil office in Desuri and 70 km from the district capital.",http://en.wikipedia.org/wiki/Sindarli
Hayat Bakhsh Bagh (Red Fort),"The Hayat Baksh Bagh, which means ""Life-bestowing garden"", is the largest of the gardens in the Red Fort in Delhi.",http://en.wikipedia.org/wiki/Hayat_Bakhsh_Bagh_(Red_Fort)
"Unal, India","Unal a village in Boudha district, Odisha, a state in India.","http://en.wikipedia.org/wiki/Unal,_India"
Public Cause Research Foundation,"Public Cause Research Foundation (PCRF) was a Delhi, India-based non-governmental organisation (NGO) that campaigned for just, transparent, accountable and participatory governance.",http://en.wikipedia.org/wiki/Public_Cause_Research_Foundation
Chipyana Buzurg,"Chipyana Buzurg is a village in the Indian state of Uttar Pradesh.It is located in the Bisrakh tehsil of Gautam Buddh Nagar district, which forms part of the Meerut division.The District headquarters at Noida is 28 kilometres (17 mi) to the north.",http://en.wikipedia.org/wiki/Chipyana_Buzurg
Kakopathar Massacre,"Kakopathar Killings or the Kakopathar Massacre took place in Assam during 2006 when the Indian army opened fire at peaceful protesters at Kakopathar in Assam, killing at least 10 people.They were protesting against the custodial-death of a villager who was arrested by the army.",http://en.wikipedia.org/wiki/Kakopathar_Massacre
Nrusimha Bharati VII,"Sri Nrusimha Bharati VII was the 29th pontiff of the Sringeri Sarada Peetam for a short tenure of 3 years(1767���1770). He spent most of his time in Nasik, since Sringeri was affected by war disturbances at that time.His attained Maha samadhi in 1770 and his adhistanam is located in Panchavati area of Nasik. He appointed Sri Sacchidananda Bharati - III as the 30th pontiff of the peetam.",http://en.wikipedia.org/wiki/Nrusimha_Bharati_VII
Locost,"A Locost is a home-built clone of the Lotus Seven. The car features a space frame chassis usually welded together from mild steel 1 in �� 1 in (25 mm �� 25 mm) square tubing. Front suspension is usually double wishbone with coil spring struts. The rear is traditionally live axle, but has many variants including independent rear suspension or De Dion tube. Body panels are usually fiberglass nose and wings and aluminium side panels.",http://en.wikipedia.org/wiki/Locost
Romulus and Remus,"Romulus /��r��mj��l��s/ and Remus /��ri�m��s/ are the twin brothers and central characters of Rome's foundation myth. Their mother is Rhea Silvia, daughter to Numitor, king of Alba Longa. Before their conception, Numitor's brother Amulius seizes power, kills Numitor's male heirs and forces Rhea Silvia to become a Vestal Virgin, sworn to chastity. Rhea Silvia conceives the twins by the god Mars, or by the demi-god Hercules; once the twins are born, Amulius has them abandoned to die in the river Tiber.",http://en.wikipedia.org/wiki/Romulus_and_Remus
Tiananmen Square protests of 1989,"The Tiananmen Square protests of 1989, commonly known as the June Fourth Incident (��_��݊�܊Ȧ) or more accurately '89 Democracy Movement (��Ǌ_���ԏ��) in Chinese, were student-led popular demonstrations in Beijing which took place in the spring of 1989 and received broad support from city residents, exposing deep splits within China's political leadership. The protests were forcibly suppressed by hardline leaders who ordered the military to enforce martial law in the country's capital.",http://en.wikipedia.org/wiki/Tiananmen_Square_protests_of_1989
Punkawallah,"In India and Pakistan, a punkhawallah or punkha wala (Hindustani: �_��_�����_Ј__ �_��__�__�__, pangkh�� v��l��) is a manual fan operator. A punkah is a type of ceiling fan used in the Indian subcontinent before the electric fan. The punkhawallah was the servant who worked it, often using a pulley system.",http://en.wikipedia.org/wiki/Punkawallah
Taranga (clothing),"Taranga is the typical headscarf worn by Kashmiri Pandit women in the earlier days and even up to almost late 1960s.Now, its only place is as a ritual and by tradition to be worn in the classical way on the bride's head as a bridal gear on her wedding day. This headwear has a very significant and historical importance and relevance, as it was an appreciation reward from his HOLIness Jagatguru ADI Sankaracharya during his stay in Kashmir.",http://en.wikipedia.org/wiki/Taranga_(clothing)
Allegheny Mountain Collegiate Conference,"The Allegheny Mountain Collegiate Conference (AMCC) is an intercollegiate athletic conference affiliated with the NCAA's Division III. Member institutions are located in the northeastern United States in the States of New York, Ohio, and Pennsylvania.",http://en.wikipedia.org/wiki/Allegheny_Mountain_Collegiate_Conference
Ashram Chowk,"Ashram Chowk is a crossways located on the southeastern corner of the Delhi Ring Road. It is at the intersection of the Ring Road and Mathura Road from the ITO crossing, the Supreme Court, Pragati Maidan, Purana Quila, Nizamuddin Dargah and the Haryana border at Faridabad.",http://en.wikipedia.org/wiki/Ashram_Chowk
George Marshall (academic),"George Marshall was Principal of Trevelyan College, University of Durham from 1995 to 1996, having been Acting-Principal from 1993.",http://en.wikipedia.org/wiki/George_Marshall_(academic)
IXL (interactive agency),"iXL Enterprises is a failed international interactive agency that lasted from 1996 until 2002. The company was founded by Atlanta entrepreneur Bert Ellis, who also served as the company's chairman and CEO. At the company's height in 1999, which coincided with the height of the dot-com boom, iXL had around 1500 employees, a quarterly revenue of $33 million, and was publicly traded on the Nasdaq exchange, with ticker symbol ""IIXL"".",http://en.wikipedia.org/wiki/IXL_(interactive_agency)
Rembrandt Group,"The Rembrandt Group is a South African tobacco and industrial conglomerate founded by Afrikaner tycoon Dr Anton Rupert who oversaw its eventual transition to the industrial and luxury branded goods sectors. Rembrandt was split into Remgro (an investment company with financial, mining and industrial interests) and Richemont (a Swiss-based luxury goods group).Dr Rupert originally established the tobacco company ""Voorbrand"" in the 1940s.",http://en.wikipedia.org/wiki/Rembrandt_Group
Squire sidecars,"Squire (founded 1973 in Bidford-on-Avon) is a British manufacturer of motorcycle sidecars that pioneered the design of the modern motorcycle trailer for being pulled behind a bike in the early 1980s. In 1988 Squire merged with the struggling Watsonian company to form Watsonian-Squire, now the UK's largest sidecar producer.",http://en.wikipedia.org/wiki/Squire_sidecars
Staffordshire County Senior League,"The Staffordshire County Senior League is a football competition based in Staffordshire, England. It was formed in 2005 as a merger of the Midland League (formerly known as the Staffordshire Senior League) and the Staffordshire County League.The former Midland League clubs formed the new Premier Division, which is a feeder to the North West Counties Football League and sits at step 7 (or level 11) of the National League System.",http://en.wikipedia.org/wiki/Staffordshire_County_Senior_League
Surveyor General of India,"The Surveyor General of India is the Head of Department of Survey of India, a Department under the Ministry of Science and Technology of Government of India. He also happens to be the senior most member of the Survey of India Service, an organized engineering service under the Union of India.The current Surveyor General is Swarna Subba Rao.",http://en.wikipedia.org/wiki/Surveyor_General_of_India
Banjara Needle Crafts,Banjara Needle Crafts are traditional handmade fabrics made by Banjaras in India. They are made in tribals Lambada habitation known as Thanda.,http://en.wikipedia.org/wiki/Banjara_Needle_Crafts
Habugra,"Habugra is a term for ""King"" in Kokborok language of Tripura.There were at least 144 kings that ruled Tripura before merging with the Indian Union on 15 November 1950. The last and most illustrious Habugra of all was Habugra Bir Bikram Manikya Debbarma. The college of Maharaja Bir Bikram College was established in his memory in 1947 in the state capital Agartala.",http://en.wikipedia.org/wiki/Habugra
List of botanical gardens in India,"A botanical garden is a place where plants, especially ferns, conifers and flowering plants, are grown and displayed for the purposes of research and education. This distinguishes them from parks and pleasure gardens where plants, usually with beautiful flowers, are grown for public amenity Botanical gardens that specialize in trees are sometimes referred to as arboretums. They are occasionally associated with zoos.",http://en.wikipedia.org/wiki/List_of_botanical_gardens_in_India
Tharoor,"Tharoor is the family name of a prominent Nair Tharavadu of Kerala, India. The name dates to antiquity, and historians record that the kingdom in and around the modern-day district of Palakkad was called Tharoor Swarupam in the 14th and 15th centuries. The family appears to have lost kingly authority thereafter, before the attacks in the area by Tipu Sultan of Mysore, and well before the absorption of the territory by the British into the Madras Presidency in the early 19th century.",http://en.wikipedia.org/wiki/Tharoor
2007���08 Paris Saint-Germain F.C. season,"The 2007���08 season was French football club Paris Saint-Germain's 35th professional season, their 35th season in Ligue 1 and their 34th consecutive season in French top-flight. PSG was managed by Paul Le Guen - in his first full season since replacing Guy Lacombe. The club was chaired by Alain Cayzac until Simon Tahar took over. Paris Saint-Germain was present in the 2007���08 Ligue 1, the 2007���08 Coupe de France and the 2007���08 Coupe de la Ligue.",http://en.wikipedia.org/wiki/2007���08_Paris_Saint-Germain_F.C._season
2001 Kishtwar massacre,2001 Kishtwar massacre was the killing of 17 Hindu villagers in village Ladder near Kishtwar in Doda District of Jammu and Kashmir by alleged militants of Lashkar-e-Taiba on 3 August 2001 .,http://en.wikipedia.org/wiki/2001_Kishtwar_massacre
1995���96 Southern Football League,The 1995���96 Southern Football League season saw the Max Griggs-funded Rushden & Diamonds win the Premier Division to earn promotion to the Football Conference.,http://en.wikipedia.org/wiki/1995���96_Southern_Football_League
Florida Gators women's volleyball,"The Florida Gators women's volleyball team represents the University of Florida in the sport of volleyball. The Gators compete in Division I of the National Collegiate Athletics Association (NCAA) and the Southeastern Conference (SEC). The Gators play their home matches in the O'Connell Center on the university's Gainesville, Florida campus, and are currently led by head coach Mary Wise.",http://en.wikipedia.org/wiki/Florida_Gators_women's_volleyball
Marble Palace Zoo,"The Marble Palace (Kolkata), located at 46,Muktaram Babu Street, Kolkata 700007, is a palatial mansion located in North Kolkata, India, which was built by Raja Rajendra Mullick in 1835 and contains many beautiful Western sculptures, pieces of Victorian furniture, and paintings by European and Indian artists. Large chandeliers, clocks, and busts of kings and queens decorate the hallways of the palace.",http://en.wikipedia.org/wiki/Marble_Palace_Zoo
Revenue Village,"A Revenue Village is a small administrative region in India, a village with defined borders. One revenue village may contain many hamlets.The Village Administrative Officer (VAO) is the head officer of the Revenue Village",http://en.wikipedia.org/wiki/Revenue_Village
Embassy of India in Moscow,"The Embassy of the Republic of India in Moscow is the diplomatic mission of India in the Russian Federation. It is located at 6 Vorontsovo Pole (Russian: _�__��____��______ _�___�_�, 6) in the Tagansky District of Moscow.The Embassy of India School Moscow is affiliated with the embassy.",http://en.wikipedia.org/wiki/Embassy_of_India_in_Moscow
Ford D-series,"The Ford D-Series was a range of middle weight trucks introduced by Ford of Britain in 1965. It replaced the Thames Trader and appears to have been envisaged as a more modern competitor to the Bedford TK produced by General Motors' UK truck subsidiary. In 1965 the range covered rigid trucks with gross weights from 5.2 to 12.75 British tons, and tippers from 10.8 to 12.75 tons.",http://en.wikipedia.org/wiki/Ford_D-series
Sayfawa dynasty,"Sayfawa dynasty or more properly Sefuwa dynasty is the name of the kings (or mai, as they called themselves) of the Kanem-Bornu Empire, centered first in Kanem in western Chad, and then, after 1380, in Borno (today north-eastern Nigeria).The dynasty was rooted in the Tubu expansion by the Kanembu. The first ten kings present in the list in the Girgam are difficult to date and to identify. The dynasty, one of Africa's longest living, lost the throne in 1846.",http://en.wikipedia.org/wiki/Sayfawa_dynasty
Spalirises,"Spalirises (50���47 BCE) was an Indo-Scythian ""Great king"" of the 1st century BCE. He was the brother of Vonones (some of his coins explain he was ""Brother of the king""), and probably identical with Spalahores.The territories of Spalarises were apparently absorbed by Azes I, his successor, who appears on the reverse on some of his coins.",http://en.wikipedia.org/wiki/Spalirises
Clwyd League,"The Clwyd Football League (currently the The Mackenzie Jones Clwyd Football League) is a football league equivalent to the fifth level of the Welsh football league system in North Wales.The league hosts several cup competitions: The President's Cup, The Premier Cup, The Halkyn Cup and the REM Jones Cup. Members compete in the FAW Trophy, Barritt Cup and Welsh Cup competitions as well.",http://en.wikipedia.org/wiki/Clwyd_League
Copa do Brasil de Futebol Feminino,The Copa do Brasil de Futebol Feminino (English: Brazilian Women's Football Cup) is a Brazilian women's football (soccer) competition organized by the Brazilian Football Confederation with the help of the Brazilian Ministry of Sports. It is designed as an equivalent to the men's Copa do Brasil. The first edition was played in 2007.,http://en.wikipedia.org/wiki/Copa_do_Brasil_de_Futebol_Feminino
Indian Political Department,"The Indian Political Department (IPD) originated in a resolution passed on September 13, 1783 by the Board of Directors of the East India Company; this decreedthe creation of a department which could help ���relieve the pressure�۝ on the administration of Warren Hastings in conducting its ""secret and political business"".In 1843, Governor-General Ellenborough reformed the administration,organizing Secretariat of the Government into four departments ��� Foreign, Home, Finance and Military.",http://en.wikipedia.org/wiki/Indian_Political_Department
Real Estate Bank India,"Real Estate Bank India is India's largest real estate services company. It was founded in 2006 by Lakshmi Narayanan and is headquartered in Bangalore, India. The company plans to invest Rs 250 million next year and expand in India and abroad with presence in countries like Sri Lanka, US, UAE, Singapore, Malaysia and Australia.",http://en.wikipedia.org/wiki/Real_Estate_Bank_India
Sansanwal,"Sansanwal is a gotra of Jats found in Rajasthan and Haryana in India. Template:Sansanwal were first live in bharatpur in rajasthanThe Sansanwal's original name was SinsiniwalJai Singh Sansanwal and Raja Surajmal Sinsiniwal were the main peoples of Sansanwal's caste;;Sansanwal or Sinsinwar are the same and gotra of Jats found in Rajasthan, Delhi, Harayan and Uttar Pradesh in India. Sinsinwars were the rulers of princely state Bharatpur.",http://en.wikipedia.org/wiki/Sansanwal
Warli painting,"Warli painting is a tribal art mostly done by Adivasi from North Sahyadri Range in India (Dahanu, Talasari, Jawhar, Palghar, Mokhada, and Vikramgadh).",http://en.wikipedia.org/wiki/Warli_painting
"YMCA International Camp, Nilshi, India","Website - www.ymcacamplakeside.orgYMCA Camp Lakeside is located at Village Nilshi, in the Western Ghats (mountains) between Mumbai and Pune, India.Camp Lakeside is a 40 acre campsite surrounded by the beautiful Andhra Lake.","http://en.wikipedia.org/wiki/YMCA_International_Camp,_Nilshi,_India"
1990���91 in English football,The 1990���91 season was the 111th season of competitive football in England.,http://en.wikipedia.org/wiki/1990���91_in_English_football
Dr. Somervell Memorial CSI Medical College,"Dr. Somervell Memorial CSI Medical College (SMC, Dr SM CSI MCH, SMCSI) established in 2002, attached to the Dr. Somervell Memorial Mission Hospital is at Karakonam, a village, in the southern border of the Thiruvananthapuram District of the State of Kerala.",http://en.wikipedia.org/wiki/Dr._Somervell_Memorial_CSI_Medical_College
2009 in Japanese football,Japanese football in 2009,http://en.wikipedia.org/wiki/2009_in_Japanese_football
Ningombam,"Ningombam is a surname which is used by a large number of Meitei. It is a clan belonging to the Angom dynasty, one of the seven kingdoms in the present state of Manipur. It is considered to be the oldest clan in Manipur and the kings of Angom had tremendous powers over the other kings in the ancient history of Manipur.",http://en.wikipedia.org/wiki/Ningombam
2012���13 Segunda Divisi�_n B,"The 2012���13 Segunda Divisi�_n B season was the 36th since its establishment. The first matches of the season were played on 26 August 2012, and the league phase ended on 19 May 2013. The entire season ended on 30 June 2013 with the promotion play-off finals.",http://en.wikipedia.org/wiki/2012���13_Segunda_Divisi�_n_B
